docname,from,to,pre,keyword,post,pattern
these_celebrities_say_theyre_voting_for_trump.txt_2199,18,18,"Actor Dennis Quaid , who just played Ronald Reagan in a biopic , also said he’s supporting",Trump,". “ It just makes sense , ” the star said in May . “ I was ready not to vote for Trump , until what I saw is , more than politics , I see a weaponization of our justice system and a challenge to our Constitution . ”",trump
these_celebrities_say_theyre_voting_for_trump.txt_2199,41,41,"Actor Dennis Quaid , who just played Ronald Reagan in a biopic , also said he’s supporting Trump . “ It just makes sense , ” the star said in May . “ I was ready not to vote for",Trump,", until what I saw is , more than politics , I see a weaponization of our justice system and a challenge to our Constitution . ”",trump
these_celebrities_say_theyre_voting_for_trump.txt_2200,2,2,“,Trump,"is the most investigated person , probably in the history of the world , and they haven’t been able to really get him on anything , ” he added .",trump
these_celebrities_say_theyre_voting_for_trump.txt_2201,12,12,“ Sopranos ” actress Drea de Matteo said she’s voting for,Trump,"and she’s not the only one . “ The people I’m around , a lot of liberals are voting for Trump . I think half of Hollywood is actually voting for Trump , ” she told Variety . “ I know that I’ve gotten plenty of messages in my inbox",trump
these_celebrities_say_theyre_voting_for_trump.txt_2201,33,33,"“ Sopranos ” actress Drea de Matteo said she’s voting for Trump and she’s not the only one . “ The people I’m around , a lot of liberals are voting for",Trump,". I think half of Hollywood is actually voting for Trump , ” she told Variety . “ I know that I’ve gotten plenty of messages in my inbox : ‘ Thank you for saying things I can’t say . ’ ”",trump
these_celebrities_say_theyre_voting_for_trump.txt_2201,44,44,"“ Sopranos ” actress Drea de Matteo said she’s voting for Trump and she’s not the only one . “ The people I’m around , a lot of liberals are voting for Trump . I think half of Hollywood is actually voting for",Trump,", ” she told Variety . “ I know that I’ve gotten plenty of messages in my inbox : ‘ Thank you for saying things I can’t say . ’ ”",trump
these_celebrities_say_theyre_voting_for_trump.txt_2203,22,22,Actor Zachary Levi said Hollywood stars need to speak up about their choice . The “ Shazam ! ” actor said,Harris,"“ is not qualified in any way shape or form to be the Commander in Chief , the leader of the free world . Absolutely not . ” He echoed de Matteo , saying many celebrities who support Trump are afraid to say so publicly .",harris
these_celebrities_say_theyre_voting_for_trump.txt_2203,61,61,"about their choice . The “ Shazam ! ” actor said Harris “ is not qualified in any way shape or form to be the Commander in Chief , the leader of the free world . Absolutely not . ” He echoed de Matteo , saying many celebrities who support",Trump,are afraid to say so publicly .,trump
these_celebrities_say_theyre_voting_for_trump.txt_2204,25,25,"“ They’ve sent me lots of messages , plenty of people in Hollywood , who are terrified to publicly say they would vote for",Donald,"Trump or be conservative in any way . They know there’s ramifications for this kind of s * * * , ” he said .",donald
these_celebrities_say_theyre_voting_for_trump.txt_2204,26,26,"“ They’ve sent me lots of messages , plenty of people in Hollywood , who are terrified to publicly say they would vote for Donald",Trump,"or be conservative in any way . They know there’s ramifications for this kind of s * * * , ” he said .",trump
these_celebrities_say_theyre_voting_for_trump.txt_2205,32,32,"Levi added , “ But ya’ll , our industry is going to be f * * * ing gonzo . My cry to all of you out there , you closeted",Trump,"voters , it’s now or never … If you need to come out publicly and say it … know that if what you’re afraid of is somehow the backlash of an industry that’s not going to exist very soon , then don’t let that hold you back . ”",trump
these_celebrities_say_theyre_voting_for_trump.txt_2206,35,35,"One celebrity who makes no secret of being conservative is Kelsey Grammer , who endorsed the Republican nominee again this year . The same goes for Jim Caviezel , “ Orange is the New",Black,"” actress Taryn Manning , country singer Jason Aldean , rapper Kodak Black , Lil Wayne , Trace Adkins , Kid Rock , UFC head honcho Dana White , Rob Schneider , Roseanne Barr , Dean Cain , Kevin Sorbo , James Woods , Jillian Michaels , and Jon Voight",black
these_celebrities_say_theyre_voting_for_trump.txt_2206,48,48,"One celebrity who makes no secret of being conservative is Kelsey Grammer , who endorsed the Republican nominee again this year . The same goes for Jim Caviezel , “ Orange is the New Black ” actress Taryn Manning , country singer Jason Aldean , rapper Kodak",Black,", Lil Wayne , Trace Adkins , Kid Rock , UFC head honcho Dana White , Rob Schneider , Roseanne Barr , Dean Cain , Kevin Sorbo , James Woods , Jillian Michaels , and Jon Voight .",black
these_celebrities_say_theyre_voting_for_trump.txt_2207,15,15,"Mel Gibson has never hid his conservative beliefs . In October , he said",Harris,has a “ miserable track record ” and “ no policies to speak of . ” The “ Braveheart ” actor also said the Democratic candidate has “ the IQ of a fence post . ”,harris
these_celebrities_say_theyre_voting_for_trump.txt_2208,10,10,"In the sports world , Kansas City Chiefs kicker",Harrison,"Butker supports Trump , and so does Brittany Mahomes , wife of the Chiefs quarterback Patrick Mahomes . Danica Patrick does , too . Brett Favre endorsed Trump for president .",harris
these_celebrities_say_theyre_voting_for_trump.txt_2208,13,13,"In the sports world , Kansas City Chiefs kicker Harrison Butker supports",Trump,", and so does Brittany Mahomes , wife of the Chiefs quarterback Patrick Mahomes . Danica Patrick does , too . Brett Favre endorsed Trump for president .",trump
these_celebrities_say_theyre_voting_for_trump.txt_2208,38,38,"In the sports world , Kansas City Chiefs kicker Harrison Butker supports Trump , and so does Brittany Mahomes , wife of the Chiefs quarterback Patrick Mahomes . Danica Patrick does , too . Brett Favre endorsed",Trump,for president .,trump
these_celebrities_say_theyre_voting_for_trump.txt_2209,24,24,"Late last month , retired United States Air Force Brigadier General Buzz Aldrin , who is also a famed NASA astronaut , endorsed",Trump,and said he was pleased with the candidate’s interest in both space exploration and preserving the safety of the nation .,trump
these_celebrities_say_theyre_voting_for_trump.txt_2210,13,13,"“ The Presidency requires an understanding of human nature , clarity in",judgment,", decisiveness , knowledge , understanding , and calm under pressures few have a natural ability to manage , or the life experience to successfully undertake , ” Aldrin said as part of his endorsement .",men
these_celebrities_say_theyre_voting_for_trump.txt_2210,48,48,"“ The Presidency requires an understanding of human nature , clarity in judgment , decisiveness , knowledge , understanding , and calm under pressures few have a natural ability to manage , or the life experience to successfully undertake , ” Aldrin said as part of his",endorsement,.,men
these_celebrities_say_theyre_voting_for_trump.txt_2212,20,20,"“ I wholeheartedly endorse him for President of the United States , ” Aldrin said . “ Godspeed President",Trump,", and God Bless the United States of America . ”",trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2217,6,6,‘ Totally Incompetent ’ :,Trump,Reiterates Call For Kamala To Take Cognitive Test After Fox Interview,trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2217,10,10,‘ Totally Incompetent ’ : Trump Reiterates Call For,Kamala,To Take Cognitive Test After Fox Interview,kamala
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2223,1,1,,Harris,was pressed on her record for nearly 30 minutes by Bret Baier .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2224,3,3,Former President,Donald,Trump again called for Vice President Kamala Harris to have a cognitive test after her combative interview with Fox News host Bret Baier on Wednesday .,donald
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2224,4,4,Former President Donald,Trump,again called for Vice President Kamala Harris to have a cognitive test after her combative interview with Fox News host Bret Baier on Wednesday .,trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2224,10,10,Former President Donald Trump again called for Vice President,Kamala,Harris to have a cognitive test after her combative interview with Fox News host Bret Baier on Wednesday .,kamala
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2224,11,11,Former President Donald Trump again called for Vice President Kamala,Harris,to have a cognitive test after her combative interview with Fox News host Bret Baier on Wednesday .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2225,7,7,"In reaction to the interview ,",Trump,criticized Harris for pivoting to attack him when asked about her policy positions . Baier’s interview with Harris lasted nearly 30 minutes as he pressed her on issues from the border crisis to what she would do differently from President Joe Biden .,trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2225,9,9,"In reaction to the interview , Trump criticized",Harris,for pivoting to attack him when asked about her policy positions . Baier’s interview with Harris lasted nearly 30 minutes as he pressed her on issues from the border crisis to what she would do differently from President Joe Biden .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2225,25,25,"In reaction to the interview , Trump criticized Harris for pivoting to attack him when asked about her policy positions . Baier’s interview with",Harris,lasted nearly 30 minutes as he pressed her on issues from the border crisis to what she would do differently from President Joe Biden .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2226,1,1,,Trump,praised Baier and criticized Harris’s record on illegal immigration on Truth Social after the pre-taped interview aired .,trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2226,6,6,Trump praised Baier and criticized,Harris’s,record on illegal immigration on Truth Social after the pre-taped interview aired .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2226,10,10,Trump praised Baier and criticized Harris’s record on illegal,immigration,on Truth Social after the pre-taped interview aired .,immigration
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,13,13,“ Great job by Bret Baier in his Interview with Lyin ’,Kamala,"Harris . She has a massive and irredeemable case of TRUMP DERANGEMENT SYNDROME – So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just",kamala
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,14,14,“ Great job by Bret Baier in his Interview with Lyin ’ Kamala,Harris,". She has a massive and irredeemable case of TRUMP DERANGEMENT SYNDROME – So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got",harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,24,24,“ Great job by Bret Baier in his Interview with Lyin ’ Kamala Harris . She has a massive and irredeemable case of,TRUMP,"DERANGEMENT SYNDROME – So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS ENDORSEMENT OF THE U.S . Border Patrol ,",trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,25,25,“ Great job by Bret Baier in his Interview with Lyin ’ Kamala Harris . She has a massive and irredeemable case of TRUMP,DERANGEMENT,"SYNDROME – So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS ENDORSEMENT OF THE U.S . Border Patrol , ME",men
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,67,67,"has a massive and irredeemable case of TRUMP DERANGEMENT SYNDROME – So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS",ENDORSEMENT,"OF THE U.S . Border Patrol , ME ! Their Endorsement was a TREMENDOUS HONOR ! ! ! They said that Comrade Kamala did a terrible job , the absolute worst in memory , and can’t be allowed to do it again , ” he posted .",men
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,78,78,"So bad , in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS ENDORSEMENT OF THE U.S . Border Patrol , ME ! Their",Endorsement,"was a TREMENDOUS HONOR ! ! ! They said that Comrade Kamala did a terrible job , the absolute worst in memory , and can’t be allowed to do it again , ” he posted .",men
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,81,81,"in fact , that she is barely able to talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS ENDORSEMENT OF THE U.S . Border Patrol , ME ! Their Endorsement was a",TREMENDOUS,"HONOR ! ! ! They said that Comrade Kamala did a terrible job , the absolute worst in memory , and can’t be allowed to do it again , ” he posted .",men
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2227,90,90,"talk about any subject other than the man who had the best economy ever , the strongest border in history , and who just got the UNANIMOUS ENDORSEMENT OF THE U.S . Border Patrol , ME ! Their Endorsement was a TREMENDOUS HONOR ! ! ! They said that Comrade",Kamala,"did a terrible job , the absolute worst in memory , and can’t be allowed to do it again , ” he posted .",kamala
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2228,9,9,"In the same post , he called for",Harris,"to have a cognitive test , echoing a call on Sunday when he said Harris had “ slow and lethargic ” answers during interviews .",harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2228,24,24,"In the same post , he called for Harris to have a cognitive test , echoing a call on Sunday when he said",Harris,had “ slow and lethargic ” answers during interviews .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2229,20,20,"“ She is also the WORST Vice President in history , but hopefully will soon be GONE , ”",Trump,"said Wednesday . “ Again , congratulations to Bret Baier on a tough but very fair interview , one that clearly showed how totally incompetent Kamala is . For the good of our Nation , her inferior Cognitive ability must be tested at once ! ”",trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2229,46,46,"“ She is also the WORST Vice President in history , but hopefully will soon be GONE , ” Trump said Wednesday . “ Again , congratulations to Bret Baier on a tough but very fair interview , one that clearly showed how totally incompetent",Kamala,"is . For the good of our Nation , her inferior Cognitive ability must be tested at once ! ”",kamala
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2231,3,3,Baier asked,Harris,about her campaign slogan : “ It’s time to turn the page . ”,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2232,18,18,"“ So what are you turning the page from ? ” he asked , noting that the",Biden-Harris,administration has been in charge for more than three years .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2233,28,28,"“ Well , first of all , turning the page from the last decade in which we have been burdened with the kind of rhetoric coming from",Donald,"Trump that has been designed and implemented to divide our country and have Americans literally point fingers at each other , rhetoric and an approach to leadership that suggests that the strength of a leader is based on who you beat down instead of what we all know . The",donald
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2233,29,29,"“ Well , first of all , turning the page from the last decade in which we have been burdened with the kind of rhetoric coming from Donald",Trump,"that has been designed and implemented to divide our country and have Americans literally point fingers at each other , rhetoric and an approach to leadership that suggests that the strength of a leader is based on who you beat down instead of what we all know . The strength",trump
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2233,35,35,"“ Well , first of all , turning the page from the last decade in which we have been burdened with the kind of rhetoric coming from Donald Trump that has been designed and",implemented,"to divide our country and have Americans literally point fingers at each other , rhetoric and an approach to leadership that suggests that the strength of a leader is based on who you beat down instead of what we all know . The strength of leadership is based on who",men
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2233,91,91,"have Americans literally point fingers at each other , rhetoric and an approach to leadership that suggests that the strength of a leader is based on who you beat down instead of what we all know . The strength of leadership is based on who you lift up , ”",Harris,replied .,harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2234,1,1,,Harris,"was also pressed on the record number of illegal immigrants who entered the United States under the Biden-Harris administration’s watch , her handling of Biden’s apparent cognitive decline , and her economic proposals .",harris
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2234,11,11,Harris was also pressed on the record number of illegal,immigrants,"who entered the United States under the Biden-Harris administration’s watch , her handling of Biden’s apparent cognitive decline , and her economic proposals .",immigrant
totally_incompetent_trump_reiterates_call_for_kamala_to_take_cognitive_test_after_fox_interview.txt_2234,19,19,Harris was also pressed on the record number of illegal immigrants who entered the United States under the,Biden-Harris,"administration’s watch , her handling of Biden’s apparent cognitive decline , and her economic proposals .",harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2239,1,1,,Trump,At MSG Says He’s Running Against ‘ Something Far Bigger ’ Than Kamala,trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2239,14,14,Trump At MSG Says He’s Running Against ‘ Something Far Bigger ’ Than,Kamala,,kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2246,16,16,"During his Madison Square Garden rally in New York City on Sunday , former President",Donald,Trump said he was running against “ something far bigger ” than Vice President Kamala Harris .,donald
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2246,17,17,"During his Madison Square Garden rally in New York City on Sunday , former President Donald",Trump,said he was running against “ something far bigger ” than Vice President Kamala Harris .,trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2246,31,31,"During his Madison Square Garden rally in New York City on Sunday , former President Donald Trump said he was running against “ something far bigger ” than Vice President",Kamala,Harris .,kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2246,32,32,"During his Madison Square Garden rally in New York City on Sunday , former President Donald Trump said he was running against “ something far bigger ” than Vice President Kamala",Harris,.,harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2247,1,1,,Trump,", who has a slight edge over Harris in national and top battleground state polls with just over a week until Election Day , talked about looking past the candidate and taking on what he described as the “ radical Left machine ” and the policy agency it wants to",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2247,9,9,"Trump , who has a slight edge over",Harris,"in national and top battleground state polls with just over a week until Election Day , talked about looking past the candidate and taking on what he described as the “ radical Left machine ” and the policy agency it wants to impress upon the U.S .",harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2248,2,2,PRESIDENT,TRUMP,": "" We are not just running against Kamala — She means nothing . She is purely a vessel — We are running against something far bigger than Joe or Kamala and more powerful than them , which is a massive , vicious , crooked , radical left machine that",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2248,11,11,"PRESIDENT TRUMP : "" We are not just running against",Kamala,"— She means nothing . She is purely a vessel — We are running against something far bigger than Joe or Kamala and more powerful than them , which is a massive , vicious , crooked , radical left machine that runs today’s … pic.twitter.com / qBysdNKtSF",kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2248,33,33,"PRESIDENT TRUMP : "" We are not just running against Kamala — She means nothing . She is purely a vessel — We are running against something far bigger than Joe or",Kamala,"and more powerful than them , which is a massive , vicious , crooked , radical left machine that runs today’s … pic.twitter.com / qBysdNKtSF",kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2249,2,2,—,Trump,"War Room ( @TrumpWarRoom ) October 27 , 2024",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2249,6,6,— Trump War Room (,@TrumpWarRoom,") October 27 , 2024",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2252,8,8,“ We are just not running against,Kamala,"— I think a lot of our politicians here tonight know this . She means nothing . She is purely a vessel , that’s all she is , ” Trump said , adding later : “ We are running against something far bigger than Joe or Kamala and far more",kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2252,38,38,"“ We are just not running against Kamala — I think a lot of our politicians here tonight know this . She means nothing . She is purely a vessel , that’s all she is , ”",Trump,"said , adding later : “ We are running against something far bigger than Joe or Kamala and far more powerful than them , which is a massive , vicious , crooked , radical Left machine that runs today’s Democrat Party . ”",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2252,55,55,"not running against Kamala — I think a lot of our politicians here tonight know this . She means nothing . She is purely a vessel , that’s all she is , ” Trump said , adding later : “ We are running against something far bigger than Joe or",Kamala,"and far more powerful than them , which is a massive , vicious , crooked , radical Left machine that runs today’s Democrat Party . ”",kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2253,5,5,That’s not to say,Trump,"did not knock Harris , the individual . During his remarks in the big Apple , Trump mocked Harris over her serving up word salads , not being more forthcoming about President’s Joe Biden’s health before he dropped out of the 2024 race this summer , and more . He",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2253,9,9,That’s not to say Trump did not knock,Harris,", the individual . During his remarks in the big Apple , Trump mocked Harris over her serving up word salads , not being more forthcoming about President’s Joe Biden’s health before he dropped out of the 2024 race this summer , and more . He quipped , “ On",harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2253,22,22,"That’s not to say Trump did not knock Harris , the individual . During his remarks in the big Apple ,",Trump,"mocked Harris over her serving up word salads , not being more forthcoming about President’s Joe Biden’s health before he dropped out of the 2024 race this summer , and more . He quipped , “ On issue after issue , Kamala broke it , but I will fix it",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2253,24,24,"That’s not to say Trump did not knock Harris , the individual . During his remarks in the big Apple , Trump mocked",Harris,"over her serving up word salads , not being more forthcoming about President’s Joe Biden’s health before he dropped out of the 2024 race this summer , and more . He quipped , “ On issue after issue , Kamala broke it , but I will fix it , ”",harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2253,64,64,"During his remarks in the big Apple , Trump mocked Harris over her serving up word salads , not being more forthcoming about President’s Joe Biden’s health before he dropped out of the 2024 race this summer , and more . He quipped , “ On issue after issue ,",Kamala,"broke it , but I will fix it , ” getting cheers from the crowd .",kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2254,2,2,PRESIDENT,TRUMP,": On issue after issue , KAMALA BROKE IT—I WILL FIX IT . pic.twitter.com / DbyhTSCFIF",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2254,9,9,"PRESIDENT TRUMP : On issue after issue ,",KAMALA,BROKE IT—I WILL FIX IT . pic.twitter.com / DbyhTSCFIF,kamala
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2255,2,2,—,Trump,"War Room ( @TrumpWarRoom ) October 27 , 2024",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2255,6,6,— Trump War Room (,@TrumpWarRoom,") October 27 , 2024",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2257,3,3,"Still ,",Trump’s,"larger point in his speech was that Biden and Harris are “ perfect vessels because they’ll never give them a hard time . He explained further , “ They’ll do whatever they want . I know many of them . It’s just an amorphous group of people . But they’re",trump
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2257,13,13,"Still , Trump’s larger point in his speech was that Biden and",Harris,"are “ perfect vessels because they’ll never give them a hard time . He explained further , “ They’ll do whatever they want . I know many of them . It’s just an amorphous group of people . But they’re smart and they’re vicious , and we have to defeat",harris
trump_at_msg_says_hes_running_against_something_far_bigger_than_kamala.txt_2258,1,1,,Trump,", who has long decried the “ deep state ” of bureaucrats and others frustrating his efforts at governance , said leftists “ are doing such harm to our country with their open border policies , record-setting inflation , ‘ Green New Scam , ’ and everything else they are",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2263,1,1,,Trump,Blasts Dem Senators ’ Attempts To Tie Themselves To Him Days Before Election,trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2270,3,3,Former President,Donald,Trump ripped Democrat senators on Wednesday for attempting to tie themselves to some of his policies as they seek re-election .,donald
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2270,4,4,Former President Donald,Trump,ripped Democrat senators on Wednesday for attempting to tie themselves to some of his policies as they seek re-election .,trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2271,46,46,"Sens . Bob Casey ( D-PA ) , Tammy Baldwin ( D-WI ) , Sherrod Brown ( D-OH ) , and Jon Tester ( D-MT ) , who are all running against Republicans in tight races , have released ads promoting their support of certain",Trump,"administration policies , Axios reported . Trump slammed the senators in a post on Truth Social , saying they “ only pretend ” to support his policies “ when Elections roll around . ”",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2271,53,53,"Bob Casey ( D-PA ) , Tammy Baldwin ( D-WI ) , Sherrod Brown ( D-OH ) , and Jon Tester ( D-MT ) , who are all running against Republicans in tight races , have released ads promoting their support of certain Trump administration policies , Axios reported .",Trump,"slammed the senators in a post on Truth Social , saying they “ only pretend ” to support his policies “ when Elections roll around . ”",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,2,2,“,Kamala,"Harris ’ sinking Campaign has become so TOXIC , that Democrat Senators in four different States are using me in their advertisements , and stating that they are with President Trump on Tariffs , and numerous other things . While it is a great compliment , it is not fair",kamala
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,3,3,“ Kamala,Harris,"’ sinking Campaign has become so TOXIC , that Democrat Senators in four different States are using me in their advertisements , and stating that they are with President Trump on Tariffs , and numerous other things . While it is a great compliment , it is not fair to",harris
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,24,24,"“ Kamala Harris ’ sinking Campaign has become so TOXIC , that Democrat Senators in four different States are using me in their",advertisements,", and stating that they are with President Trump on Tariffs , and numerous other things . While it is a great compliment , it is not fair to those Republican Senate Candidates , Bernie Moreno , Dave McCormick , Eric Hovde , and Sam Brown , who are with",men
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,33,33,"“ Kamala Harris ’ sinking Campaign has become so TOXIC , that Democrat Senators in four different States are using me in their advertisements , and stating that they are with President",Trump,"on Tariffs , and numerous other things . While it is a great compliment , it is not fair to those Republican Senate Candidates , Bernie Moreno , Dave McCormick , Eric Hovde , and Sam Brown , who are with me all the time , ” Trump wrote .",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,47,47,"“ Kamala Harris ’ sinking Campaign has become so TOXIC , that Democrat Senators in four different States are using me in their advertisements , and stating that they are with President Trump on Tariffs , and numerous other things . While it is a great",compliment,", it is not fair to those Republican Senate Candidates , Bernie Moreno , Dave McCormick , Eric Hovde , and Sam Brown , who are with me all the time , ” Trump wrote . “ These Democrats have voted with Crooked Joe Biden almost 100 % of the",men
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2272,81,81,"with President Trump on Tariffs , and numerous other things . While it is a great compliment , it is not fair to those Republican Senate Candidates , Bernie Moreno , Dave McCormick , Eric Hovde , and Sam Brown , who are with me all the time , ”",Trump,"wrote . “ These Democrats have voted with Crooked Joe Biden almost 100 % of the time . They only pretend to be on my side when Elections roll around . OHIO , PENNSYLVANIA , WISCONSIN , NEVADA : VOTE FOR BERNIE MORENO , DAVE MCCORMICK , ERIC HOVDE ,",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2273,26,26,"In a Casey ad that was released last week , the narrator says that “ Casey bucked Biden to protect fracking and he sided with",Trump,"to end NAFTA and put tariffs on China to stop them from cheating . ” A Baldwin ad states , “ Tammy Baldwin got President Trump to sign her Made in America bill . ”",trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2273,52,52,"a Casey ad that was released last week , the narrator says that “ Casey bucked Biden to protect fracking and he sided with Trump to end NAFTA and put tariffs on China to stop them from cheating . ” A Baldwin ad states , “ Tammy Baldwin got President",Trump,to sign her Made in America bill . ”,trump
trump_blasts_dem_senators_attempts_to_tie_themselves_to_him_days_before_election.txt_2274,15,15,An ad released earlier this year says that Brown “ wrote a bill that,Donald,"Trump signed to crack down on drugs at the border . ” Tester , meanwhile , has been featured in ads that feature Republicans who will be voting for Trump and backing Tester .",donald
